annotation_id,concept_name
1,Caridea
2,Funiculina
3,Funiculina
4,Funiculina
5,Funiculina
6,Actinopterygii
7,Caridea
8,Umbellula
9,Funiculina
10,Funiculina
11,Scotoplanes globosa
12,Umbellula
13,Umbellula
14,Octopus rubescens
15,Isosicyonis
16,Isosicyonis
17,Isosicyonis
18,Octopus rubescens
19,Paralomis multispina
20,Paralomis multispina
21,Scotoplanes
22,Ophiuroidea
23,Gastropoda
24,Holothuroidea
25,Ceriantharia
26,Caridea
27,Serpulidae
28,Acanthoptilum
29,Funiculina
30,Serpulidae
31,Ophiuroidea
32,Ophiuroidea
33,Ophiuroidea
34,Brisingida
35,Florometra serratissima
36,Florometra serratissima
37,Porifera
38,Porifera
39,Porifera
40,Porifera
41,Porifera
42,Porifera
43,Porifera
44,Porifera
45,Porifera
46,Caridea
47,Tunicata
48,Caridea
49,Caridea
50,Caridea
51,Liponema brevicorne
52,Lithodidae
53,Acanthascinae
54,Hexactinellida
55,Farrea
56,Caridea
57,Sebastes
58,Scotoplanes
59,Pyrosoma atlanticum
60,Amphipoda
61,Delectopecten
62,Ptychogastria polaris
63,Pyrosoma atlanticum
64,Psolus squamatus
65,Psathyrometra fragilis
66,Heterochone calyx
67,Porifera
68,Acanthascinae
69,Staurocalyptus
70,Porifera
71,Acanthascinae
72,Acanthascinae
73,Peniagone
74,Benthocodon pedunculata
75,Peniagone
76,Scotoplanes globosa
77,Peniagone
78,Peniagone
79,Benthocodon pedunculata
80,Munnopsidae
81,Zoantharia
82,Chionoecetes tanneri
83,Scleractinia
84,Scleractinia
85,Ceriantharia
86,Acanthascinae
87,Isosicyonis
88,Psolus squamatus
89,Tunicata
90,Heterochone calyx
91,Acanthoptilum
92,Paragorgia
93,Paragorgia
94,Porifera
95,Asbestopluma
96,Farrea
97,Acanthascinae
98,Heterochone calyx
99,Actiniaria
100,Actinernus
101,Asbestopluma monticola
102,Zoantharia
103,Elpidia
104,Microstomus pacificus
105,Mycale
106,Staurocalyptus
107,Mycale
108,Mycale
109,Porifera
110,Mycale
111,Gastropoda
112,Staurocalyptus
113,Staurocalyptus
114,Gersemia juliepackardae
115,Strongylocentrotus fragilis
116,Strongylocentrotus fragilis
117,Strongylocentrotus fragilis
118,Strongylocentrotus fragilis
119,Brisingida
120,Scotoplanes
121,Metridium farcimen
122,Keratoisis
123,Munidopsis
124,Asteroidea
125,Paelopatides confundens
126,Peniagone
127,Holothuroidea
128,Microstomus pacificus
129,Heteropolypus ritteri
130,Farrea
131,Scleractinia
132,Heteropolypus ritteri
133,Tunicata
134,Hexactinellida
135,Benthocodon pedunculata
136,Psolus squamatus
137,Zoantharia
138,Zoantharia
139,Isosicyonis
140,Zoantharia
141,Scleractinia
142,Psolus squamatus
143,Zoantharia
144,Peniagone
145,Heterochone calyx
146,Psathyrometra fragilis
147,Heterochone calyx
148,Lithodidae
149,Ophiacanthidae
150,Keratoisis
151,Paragorgia arborea
152,Merluccius productus
153,Isididae
154,Isididae
155,Mediaster aequalis
156,Paragorgia arborea
157,Microstomus pacificus
158,Sebastolobus
159,Octopus rubescens
160,Liponema brevicorne
161,Keratoisis
162,Gastropoda
163,Isididae
164,Merluccius productus
165,Heteropolypus ritteri
166,Sebastolobus
167,Hormathiidae
168,Farrea
