annotation_id,concept_name
1,Pandalus amplus
2,Funiculina
3,Funiculina
4,Funiculina
5,Funiculina
6,Merluccius productus
7,Florometra serratissima
8,Umbellula
9,Funiculina
10,Asbestopluma monticola
11,Funiculina
12,Funiculina
13,Funiculina
14,Sebastes
15,Isosicyonis
16,Mediaster aequalis
17,Isosicyonis
18,Isosicyonis
19,Lithodidae
20,Paralomis multispina
21,Lithodidae
22,Ophiuroidea
23,Merluccius productus
24,Ceriantharia
25,Ceriantharia
26,Ceriantharia
27,Ophiuroidea
28,Ophiuroidea
29,Funiculina
30,Chorilia longipes
31,Ophiuroidea
32,Ophiuroidea
33,Ophiuroidea
34,Ophiuroidea
35,Psathyrometra fragilis
36,Psathyrometra fragilis
37,Tunicata
38,Porifera
39,Gastropoda
40,Scleractinia
41,Tunicata
42,Porifera
43,Tunicata
44,Porifera
45,Tunicata
46,Caridea
47,Tunicata
48,Caridea
49,Caridea
50,Caridea
51,Strongylocentrotus fragilis
52,Brisingida
53,Lithodidae
54,Florometra serratissima
55,Porifera
56,Acanthoptilum
57,Acanthoptilum
58,Scotoplanes
59,Funiculina
60,Funiculina
61,Psolus squamatus
62,Strongylocentrotus fragilis
63,Asbestopluma
64,Psolus squamatus
65,Psathyrometra fragilis
66,Mycale
67,Porifera
68,Funiculina
69,Staurocalyptus
70,Metridium farcimen
71,Acanthascinae
72,Acanthascinae
73,Peniagone
74,Benthocodon pedunculata
75,Peniagone
76,Scotoplanes globosa
77,Peniagone
78,Terebellidae
79,Benthocodon pedunculata
80,Munnopsidae
81,Zoantharia
82,Isosicyonis
83,Scleractinia
84,Scleractinia
85,Ceriantharia
86,Acanthascinae
87,Pannychia moseleyi
88,Psolus squamatus
89,Porifera
90,Heterochone calyx
91,Acanthoptilum
92,Paragorgia
93,Asbestopluma
94,Tunicata
95,Asbestopluma
96,Porifera
97,Crinoidea
98,Heterochone calyx
99,Apostichopus leukothele
100,Pennatula phosphorea
101,Brisingida
102,Corallimorphus pilatus
103,Elpidia
104,Microstomus pacificus
105,Gastropoda
106,Staurocalyptus
107,Mycale
108,Gastropoda
109,Psolus squamatus
110,Gastropoda
111,Gastropoda
112,Gastropoda
113,Mycale
114,Elpidia
115,Strongylocentrotus fragilis
116,Strongylocentrotus fragilis
117,Strongylocentrotus fragilis
118,Strongylocentrotus fragilis
119,Brisingida
120,Ceriantharia
121,Ceriantharia
122,Isidella tentaculum
123,Psolus squamatus
124,Psolus squamatus
125,Merluccius productus
126,Peniagone
127,Scotoplanes
128,Microstomus pacificus
129,Lithodidae
130,Metridium farcimen
131,Corallimorphus pilatus
132,Paralomis multispina
133,Terebellidae
134,Porifera
135,Caridea
136,Zoantharia
137,Amphipoda
138,Zoantharia
139,Amphipoda
140,Zoantharia
141,Scleractinia
142,Holothuroidea
143,Zoantharia
144,Peniagone
145,Heterochone calyx
146,Psathyrometra fragilis
147,Heterochone calyx
148,Ophiacanthidae
149,Caridea
150,Keratoisis
151,Paragorgia arborea
152,Merluccius productus
153,Isidella tentaculum
154,Paragorgia
155,Hippasteria
156,Paragorgia arborea
157,Microstomus pacificus
158,Paralomis multispina
159,Octopus rubescens
160,Heteropolypus ritteri
161,Paragorgia
162,Asteroidea
163,Isididae
164,Isidella tentaculum
165,Paralomis multispina
166,Sebastolobus
167,Hormathiidae
168,Farrea
169,Florometra serratissima
170,Paragorgia
171,Scleractinia
172,Isidella tentaculum
173,Scleractinia
174,Pannychia moseleyi
175,Ophiuroidea
176,Sebastolobus
177,Ophiuroidea
178,Pannychia moseleyi
179,Ophiuroidea
180,Ophiuroidea
181,Ophiuroidea
182,Sebastolobus
183,Ophiuroidea
184,Sebastolobus
185,Asbestopluma
186,Ceriantharia
187,Paragorgia arborea
188,Pyrosoma atlanticum
189,Paragorgia arborea
190,Paragorgia
191,Hippasteria
192,Brisingida
193,Ceriantharia
194,Psolus squamatus
195,Psathyrometra fragilis
196,Paragorgia
197,Brisingida
198,Paragorgia arborea
199,Brisingida
200,Tunicata
201,Asbestopluma monticola
202,Chorilia longipes
203,Keratoisis
204,Keratoisis
205,Asbestopluma monticola
206,Heterochone calyx
207,Heterochone calyx
208,Isidella tentaculum
209,Psolus squamatus
210,Florometra serratissima
211,Crinoidea
212,Terebellidae
213,Benthocodon pedunculata
214,Peniagone
215,Ophiacanthidae
216,Paralomis multispina
217,Strongylocentrotus fragilis
218,Corallimorphus pilatus
219,Strongylocentrotus fragilis
220,Ophiacanthidae
221,Corallimorphus pilatus
222,Heterocarpus
223,Corallimorphus pilatus
224,Corallimorphus pilatus
225,Caridea
226,Heterocarpus
227,Heterocarpus
228,Pandalus amplus
229,Heterocarpus
230,Caridea
231,Mediaster aequalis
232,Heteropolypus ritteri
233,Paragorgia arborea
234,Corallimorphus pilatus
235,Psathyrometra fragilis
236,Elpidia
237,Pannychia moseleyi
238,Isididae
239,Asbestopluma
240,Actinopterygii
241,Gastropoda
242,Acanthoptilum
243,Ophiuroidea
244,Ophiuroidea
245,Munidopsis
246,Munidopsis
247,Tunicata
248,Gastropoda
249,Porifera
250,Scotoplanes
251,Elpidia
252,Paralomis multispina
253,Paralomis multispina
254,Actinopterygii
255,Asbestopluma
256,Ceriantharia
257,Asbestopluma
258,Serpulidae
259,Corallimorphus pilatus
260,Corallimorphus pilatus
261,Holothuroidea
262,Pennatula phosphorea
263,Pennatula phosphorea
264,Holothuroidea
265,Funiculina
266,Caridea
267,Ceriantharia
268,Psathyrometra fragilis
269,Florometra serratissima
270,Psathyrometra fragilis
271,Brisingida
272,Psolus squamatus
273,Asbestopluma monticola
274,Elpidia
275,Elpidia
276,Elpidia
277,Chorilia longipes
278,Ophiuroidea
279,Caridea
280,Caridea
281,Asbestopluma monticola
282,Rathbunaster californicus
283,Scotoplanes globosa
284,Asteroidea
285,Asteroidea
286,Asteroidea
287,Caridea
288,Caridea
289,Caridea
290,Acanthoptilum
291,Isidella tentaculum
292,Isidella tentaculum
293,Isidella tentaculum
294,Pandalus amplus
295,Lithodidae
296,Hormathiidae
297,Hormathiidae
298,Isosicyonis
299,Caridea
300,Ophiuroidea
301,Munidopsis
302,Munidopsis
303,Porifera
304,Delectopecten
305,Mediaster aequalis
306,Chionoecetes tanneri
307,Acanthascinae
308,Porifera
309,Porifera
310,Brisingida
311,Scotoplanes globosa
312,Amphipoda
313,Acanthoptilum
314,Acanthoptilum
315,Ceriantharia
316,Elpidia
317,Scotoplanes globosa
318,Scotoplanes globosa
319,Florometra serratissima
320,Metridium farcimen
321,Microstomus pacificus
322,Metridium farcimen
323,Metridium farcimen
324,Metridium farcimen
325,Florometra serratissima
326,Elpidia
327,Elpidia
328,Metridium farcimen
329,Pannychia moseleyi
330,Asbestopluma
331,Caridea
332,Elpidia
333,Elpidia
334,Umbellula
335,Actinopterygii
336,Asbestopluma
337,Asbestopluma
338,Asteroidea
339,Acanthoptilum
340,Acanthoptilum
341,Chionoecetes tanneri
342,Gastropoda
343,Munnopsidae
344,Terebellidae
345,Terebellidae
346,Terebellidae
347,Terebellidae
348,Terebellidae
349,Terebellidae
350,Ophiacanthidae
351,Asbestopluma
